         42979814 function calls (40050454 primitive calls) in 179.424 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002  179.427  179.427 c:\Users\demagall\Documents\VS Code\Research\SpaDes\ConfigurationDesign.py:9(main)
        2    0.000    0.000  174.514   87.257 c:\Users\demagall\Documents\VS Code\Research\SpaDes\ConfigurationOptimization.py:105(optimization)
        1    0.109    0.109  168.896  168.896 c:\Users\demagall\Documents\VS Code\Research\SpaDes\RLOptPyTorchFast.py:229(run)
       10    1.402    0.140  139.612   13.961 c:\Users\demagall\Documents\VS Code\Research\SpaDes\RLOptPyTorchFast.py:309(run_epoch)
      180   42.073    0.234  100.946    0.561 c:\Users\demagall\Documents\VS Code\Research\SpaDes\ConfigurationCost.py:76(overlapCostSingle)
   332504   32.729    0.000   32.729    0.000 {built-in method torch.tensor}
        3    0.000    0.000   31.639   10.546 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\pyplot.py:401(show)
        3    0.000    0.000   31.639   10.546 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\backend_bases.py:3593(show)
        3    0.000    0.000   31.601   10.534 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\backends\_backend_tk.py:513(start_main_loop)
        3    0.000    0.000   31.601   10.534 C:\Users\demagall\AppData\Local\Programs\Python\Python310\lib\tkinter\__init__.py:1456(mainloop)
        3   30.372   10.124   31.601   10.534 {method 'mainloop' of '_tkinter.tkapp' objects}
    58382    0.159    0.000   25.521    0.000 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\fx\traceback.py:66(format_stack)
18612/1692    0.035    0.000   23.065    0.014 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\nn\modules\module.py:1549(_wrapped_call_impl)
18612/1692    0.076    0.000   23.061    0.014 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\nn\modules\module.py:1555(_call_impl)
    58384    0.160    0.000   21.971    0.000 C:\Users\demagall\AppData\Local\Programs\Python\Python310\lib\traceback.py:216(extract_stack)
    58384    1.740    0.000   21.782    0.000 C:\Users\demagall\AppData\Local\Programs\Python\Python310\lib\traceback.py:338(extract)
   374642    0.545    0.000   17.483    0.000 C:\Users\demagall\AppData\Local\Programs\Python\Python310\lib\linecache.py:52(checkcache)
   377352   17.049    0.000   17.049    0.000 {built-in method nt.stat}
   133494    3.699    0.000   16.961    0.000 c:\Users\demagall\Documents\VS Code\Research\SpaDes\ConfigUtils.py:38(getOrientation)
      720    0.076    0.000   13.117    0.018 c:\Users\demagall\Documents\VS Code\Research\SpaDes\RLOptPyTorchFast.py:83(sample_configuration)
1951523/661149    1.386    0.000   12.641    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      921    0.086    0.000   12.609    0.014 c:\Users\demagall\Documents\VS Code\Research\SpaDes\RLOptPyTorchFast.py:56(forward)
1269540/634770    0.863    0.000   12.253    0.000 <__array_function__ internals>:177(roll)
1269540/634770    6.897    0.000   11.338    0.000 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\numpy\core\numeric.py:1147(roll)
      771    0.072    0.000   10.432    0.014 c:\Users\demagall\Documents\VS Code\Research\SpaDes\RLOptPyTorchFast.py:191(forward)
      720    0.001    0.000    9.743    0.014 c:\Users\demagall\Documents\VS Code\Research\SpaDes\RLOptPyTorchFast.py:210(sample_critic)
     8460    0.025    0.000    9.096    0.001 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\nn\modules\linear.py:116(forward)
     8460    0.813    0.000    9.061    0.001 {built-in method torch._C._nn.linear}
