         27996275 function calls (25060464 primitive calls) in 133.804 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   705/12    0.003    0.000    1.093    0.091 <frozen importlib._bootstrap>:664(_load_unlocked)
   901/12    0.001    0.000    1.092    0.091 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   701/11    0.002    0.000    1.091    0.099 <frozen importlib._bootstrap_external>:877(exec_module)
  1336/15    0.051    0.000    1.088    0.073 {built-in method builtins.exec}
  920/109    0.003    0.000    1.085    0.010 <frozen importlib._bootstrap>:1053(_handle_fromlist)
   193/11    0.001    0.000    1.084    0.099 {built-in method builtins.__import__}
      102    0.000    0.000    1.069    0.010 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\_compile.py:21(inner)
        4    0.000    0.000    1.056    0.264 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\backends\_backend_tk.py:269(idle_draw)
        4    0.000    0.000    1.056    0.264 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\backends\backend_tkagg.py:9(draw)
        1    0.000    0.000    1.055    1.055 c:\Users\demagall\Documents\VS Code\Research\SpaDes\RLOptPyTorchFast.py:23(__init__)
        2    0.000    0.000    1.053    0.527 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\optim\adam.py:31(__init__)
        2    0.000    0.000    1.053    0.527 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\optim\optimizer.py:339(__init__)
        1    0.000    0.000    1.052    1.052 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\_dynamo\__init__.py:1(<module>)
        1    0.000    0.000    1.048    1.048 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\_dynamo\convert_frame.py:1(<module>)
        4    0.000    0.000    1.035    0.259 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\backends\backend_agg.py:392(draw)
        4    0.000    0.000    1.032    0.258 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\artist.py:93(draw_wrapper)
   1079/4    0.004    0.000    1.032    0.258 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\artist.py:54(draw_wrapper)
        4    0.000    0.000    1.032    0.258 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\figure.py:3155(draw)
     10/4    0.000    0.000    1.028    0.257 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\image.py:113(_draw_list_compositing_images)
   637661    0.440    0.000    0.905    0.000 <__array_function__ internals>:177(empty_like)
     1335    0.807    0.001    0.892    0.001 c:\Users\demagall\Documents\VS Code\Research\SpaDes\ConfigurationCost.py:220(thermalCost)
281295/997    0.397    0.000    0.820    0.001 C:\Users\demagall\AppData\Local\Programs\Python\Python310\lib\copy.py:128(deepcopy)
        6    0.000    0.000    0.782    0.130 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\axes\_base.py:2999(draw)
    92734    0.779    0.000    0.779    0.000 {method 'reduce' of 'numpy.ufunc' objects}
25678/694    0.055    0.000    0.761    0.001 C:\Users\demagall\AppData\Local\Programs\Python\Python310\lib\copy.py:201(_deepcopy_list)
        2    0.000    0.000    0.745    0.372 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\mpl_toolkits\mplot3d\axes3d.py:438(draw)
     6768    0.008    0.000    0.732    0.000 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\nn\modules\activation.py:103(forward)
     6768    0.008    0.000    0.724    0.000 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\nn\functional.py:1489(relu)
       21    0.001    0.000    0.720    0.034 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\pygad\utils\nsga2.py:67(non_dominated_sorting)
       65    0.370    0.006    0.718    0.011 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\pygad\utils\nsga2.py:9(get_non_dominated_set)
     6768    0.163    0.000    0.715    0.000 {built-in method torch.relu}
    16659    0.052    0.000    0.711    0.000 C:\Users\demagall\AppData\Local\Programs\Python\Python310\lib\copy.py:259(_reconstruct)
 1132/869    0.003    0.000    0.672    0.001 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\_api\deprecation.py:443(wrapper)
        1    0.000    0.000    0.669    0.669 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\fx\experimental\symbolic_shapes.py:1(<module>)
        1    0.000    0.000    0.641    0.641 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\utils\_sympy\functions.py:1(<module>)
     6875    0.015    0.000    0.641    0.000 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\numpy\core\fromnumeric.py:69(_wrapreduction)
        1    0.000    0.000    0.631    0.631 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\sympy\__init__.py:1(<module>)
     1334    0.004    0.000    0.620    0.000 c:\Users\demagall\Documents\VS Code\Research\SpaDes\HypervolumeUtils.py:64(getHV)
     1386    0.002    0.000    0.617    0.000 <__array_function__ internals>:177(sum)
     1386    0.004    0.000    0.614    0.000 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\numpy\core\fromnumeric.py:2188(sum)
13704/12795    0.058    0.000    0.602    0.000 C:\Users\demagall\AppData\Local\Programs\Python\Python310\lib\copy.py:227(_deepcopy_dict)
     9472    0.014    0.000    0.571    0.000 C:\Users\demagall\AppData\Local\Programs\Python\Python310\lib\traceback.py:27(format_list)
     9472    0.242    0.000    0.494    0.000 C:\Users\demagall\AppData\Local\Programs\Python\Python310\lib\traceback.py:405(format)
   231/42    0.001    0.000    0.466    0.011 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\artist.py:31(draw_wrapper)
    23580    0.460    0.000    0.460    0.000 {built-in method torch.stack}
        4    0.000    0.000    0.447    0.112 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\pyplot.py:691(figure)
        4    0.000    0.000    0.447    0.112 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\pyplot.py:381(new_figure_manager)
    23040    0.425    0.000    0.425    0.000 {built-in method torch.logical_and}
     1335    0.303    0.000    0.420    0.000 c:\Users\demagall\Documents\VS Code\Research\SpaDes\ConfigurationCost.py:28(inertiaCost)
