         36718935 function calls (33718591 primitive calls) in 51.205 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   634857    0.442    0.000    0.866    0.000 <__array_function__ internals>:177(empty_like)
18612/1692    0.018    0.000    0.800    0.000 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\nn\modules\module.py:1549(_wrapped_call_impl)
18612/1692    0.035    0.000    0.796    0.000 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\nn\modules\module.py:1555(_call_impl)
     1614    0.781    0.000    0.781    0.000 {built-in method torch.tensor}
    90532    0.764    0.000    0.764    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        2    0.000    0.000    0.748    0.374 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\mpl_toolkits\mplot3d\axes3d.py:438(draw)
274602/886    0.349    0.000    0.743    0.001 C:\Users\demagall\AppData\Local\Programs\Python\Python310\lib\copy.py:128(deepcopy)
       21    0.001    0.000    0.720    0.034 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\pygad\utils\nsga2.py:67(non_dominated_sorting)
       65    0.363    0.006    0.718    0.011 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\pygad\utils\nsga2.py:9(get_non_dominated_set)
25678/694    0.052    0.000    0.703    0.001 C:\Users\demagall\AppData\Local\Programs\Python\Python310\lib\copy.py:201(_deepcopy_list)
        1    0.000    0.000    0.682    0.682 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\fx\experimental\symbolic_shapes.py:1(<module>)
        1    0.000    0.000    0.654    0.654 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\utils\_sympy\functions.py:1(<module>)
    15074    0.047    0.000    0.647    0.000 C:\Users\demagall\AppData\Local\Programs\Python\Python310\lib\copy.py:259(_reconstruct)
        3    0.000    0.000    0.644    0.215 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\axes\_base.py:2999(draw)
        1    0.000    0.000    0.644    0.644 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\sympy\__init__.py:1(<module>)
     4609    0.011    0.000    0.627    0.000 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\numpy\core\fromnumeric.py:69(_wrapreduction)
  6699773    0.616    0.000    0.616    0.000 {method 'append' of 'list' objects}
     1334    0.003    0.000    0.615    0.000 c:\Users\demagall\Documents\VS Code\Research\SpaDes\HypervolumeUtils.py:64(getHV)
     1387    0.002    0.000    0.613    0.000 <__array_function__ internals>:177(sum)
     1387    0.004    0.000    0.610    0.000 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\numpy\core\fromnumeric.py:2188(sum)
       50    0.107    0.002    0.577    0.012 c:\Users\demagall\Documents\VS Code\Research\SpaDes\RLOptPyTorch.py:95(ppo_update)
13260/12684    0.054    0.000    0.540    0.000 C:\Users\demagall\AppData\Local\Programs\Python\Python310\lib\copy.py:227(_deepcopy_dict)
  783/556    0.002    0.000    0.517    0.001 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\_api\deprecation.py:443(wrapper)
      921    0.031    0.000    0.485    0.001 c:\Users\demagall\Documents\VS Code\Research\SpaDes\RLOptPyTorch.py:50(forward)
   213/39    0.001    0.000    0.457    0.012 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\artist.py:31(draw_wrapper)
  2129042    0.445    0.000    0.445    0.000 {built-in method builtins.min}
5534257/5533830    0.441    0.000    0.444    0.000 {built-in method builtins.len}
  2131731    0.439    0.000    0.443    0.000 {built-in method builtins.max}
     8460    0.017    0.000    0.434    0.000 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\nn\modules\linear.py:116(forward)
     1335    0.298    0.000    0.412    0.000 c:\Users\demagall\Documents\VS Code\Research\SpaDes\ConfigurationCost.py:28(inertiaCost)
     8460    0.409    0.000    0.409    0.000 {built-in method torch._C._nn.linear}
       11    0.000    0.000    0.380    0.035 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\pygad\pygad.py:2097(run_select_parents)
       11    0.001    0.000    0.380    0.035 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\pygad\utils\parent_selection.py:432(nsga2_selection)
   633727    0.246    0.000    0.361    0.000 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\numpy\core\numeric.py:1398(<listcomp>)
       10    0.000    0.000    0.358    0.036 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\pygad\pygad.py:2301(run_update_population)
       10    0.000    0.000    0.358    0.036 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\pygad\utils\parent_selection.py:12(steady_state_selection)
       10    0.000    0.000    0.358    0.036 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\pygad\utils\nsga2.py:229(sort_solutions_nsga2)
      122    0.000    0.000    0.346    0.003 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\collections.py:969(draw)
      128    0.004    0.000    0.345    0.003 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\collections.py:343(draw)
      720    0.023    0.000    0.344    0.000 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\distributions\categorical.py:52(__init__)
        3    0.000    0.000    0.343    0.114 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\pyplot.py:691(figure)
        3    0.000    0.000    0.343    0.114 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\pyplot.py:381(new_figure_manager)
       72    0.001    0.000    0.320    0.004 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\mpl_toolkits\mplot3d\art3d.py:642(draw)
        3    0.000    0.000    0.317    0.106 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\legend.py:708(draw)
        3    0.000    0.000    0.308    0.103 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\backend_bases.py:3567(new_figure_manager)
        3    0.000    0.000    0.306    0.102 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\backend_bases.py:3576(new_figure_manager_given_figure)
        3    0.000    0.000    0.306    0.102 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\backend_bases.py:1731(new_manager)
        3    0.000    0.000    0.306    0.102 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\backends\_backend_tk.py:476(create_with_canvas)
      720    0.011    0.000    0.300    0.000 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\distributions\categorical.py:129(sample)
      771    0.023    0.000    0.300    0.000 c:\Users\demagall\Documents\VS Code\Research\SpaDes\RLOptPyTorch.py:193(forward)
   681954    0.294    0.000    0.294    0.000 {method 'reshape' of 'numpy.ndarray' objects}
       50    0.002    0.000    0.284    0.006 c:\Users\demagall\Documents\VS Code\Research\SpaDes\RLOptPyTorch.py:226(ppo_update)
        1    0.000    0.000    0.283    0.283 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\_dynamo\trace_rules.py:1(<module>)
     53/3    0.001    0.000    0.277    0.092 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\offsetbox.py:407(draw)
      100    0.001    0.000    0.259    0.003 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\_tensor.py:465(backward)
      100    0.001    0.000    0.258    0.003 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\autograd\__init__.py:183(backward)
       77    0.005    0.000    0.255    0.003 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\path.py:603(get_extents)
     1335    0.228    0.000    0.255    0.000 c:\Users\demagall\Documents\VS Code\Research\SpaDes\ConfigurationCost.py:202(wireCost)
      100    0.001    0.000    0.253    0.003 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\autograd\graph.py:764(_engine_run_backward)
      100    0.252    0.003    0.252    0.003 {method 'run_backward' of 'torch._C._EngineBase' objects}
     1515    0.228    0.000    0.251    0.000 {method 'to' of 'torch._C.TensorBase' objects}
        1    0.000    0.000    0.250    0.250 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\sympy\polys\__init__.py:1(<module>)
      720    0.246    0.000    0.246    0.000 {built-in method torch.multinomial}
      701    0.007    0.000    0.229    0.000 <frozen importlib._bootstrap_external>:950(get_code)
  1384651    0.226    0.000    0.226    0.000 {built-in method numpy.asanyarray}
     2550    0.211    0.000    0.211    0.000 {method 'item' of 'torch._C.TensorBase' objects}
        3    0.000    0.000    0.210    0.070 C:\Users\demagall\AppData\Local\Programs\Python\Python310\lib\tkinter\__init__.py:2279(__init__)
        3    0.208    0.069    0.208    0.069 {built-in method _tkinter.create}
     2160    0.207    0.000    0.207    0.000 {method 'tolist' of 'torch._C.TensorBase' objects}
   633409    0.200    0.000    0.200    0.000 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\numpy\core\numeric.py:1234(<dictcomp>)
        6    0.002    0.000    0.196    0.033 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\mpl_toolkits\mplot3d\axis3d.py:348(draw)
      720    0.013    0.000    0.193    0.000 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\bezier.py:275(axis_aligned_extrema)
        6    0.000    0.000    0.192    0.032 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\pyplot.py:2810(plot)
        1    0.000    0.000    0.191    0.191 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\_dynamo\variables\__init__.py:1(<module>)
      735    0.006    0.000    0.189    0.000 <frozen importlib._bootstrap>:921(_find_spec)
       16    0.000    0.000    0.188    0.012 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\pyplot.py:2307(gca)
  1266818    0.187    0.000    0.187    0.000 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\numpy\core\numeric.py:1143(_roll_dispatcher)
    78744    0.026    0.000    0.179    0.000 {method 'all' of 'numpy.ndarray' objects}
      735    0.001    0.000    0.178    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      735    0.002    0.000    0.177    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
     6768    0.006    0.000    0.173    0.000 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\nn\modules\activation.py:103(forward)
      720    0.173    0.000    0.173    0.000 {method 'logsumexp' of 'torch._C.TensorBase' objects}
   636661    0.171    0.000    0.171    0.000 {method 'ravel' of 'numpy.ndarray' objects}
    46139    0.034    0.000    0.168    0.000 <__array_function__ internals>:177(result_type)
     6768    0.007    0.000    0.167    0.000 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\nn\functional.py:1489(relu)
       15    0.001    0.000    0.165    0.011 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\axis.py:1257(_update_ticks)
      979    0.008    0.000    0.164    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
        1    0.000    0.000    0.161    0.161 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\sympy\concrete\__init__.py:1(<module>)
        1    0.000    0.000    0.161    0.161 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\sympy\concrete\products.py:1(<module>)
     6768    0.158    0.000    0.158    0.000 {built-in method torch.relu}
        1    0.000    0.000    0.158    0.158 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\sympy\concrete\summations.py:1(<module>)
1637/1592    0.027    0.000    0.157    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.156    0.156 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\sympy\integrals\__init__.py:1(<module>)
      598    0.139    0.000    0.153    0.000 {method 'call' of '_tkinter.tkapp' objects}
    78752    0.024    0.000    0.153    0.000 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\numpy\core\_methods.py:61(_all)
     2709    0.151    0.000    0.151    0.000 {built-in method nt.stat}
        1    0.000    0.000    0.151    0.151 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\sympy\integrals\transforms.py:1(<module>)
       16    0.000    0.000    0.150    0.009 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\pyplot.py:893(gcf)
     2660    0.002    0.000    0.150    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      720    0.086    0.000    0.147    0.000 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\distributions\distribution.py:40(__init__)
        1    0.144    0.144    0.146    0.146 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\sympy\integrals\laplace.py:1(<module>)
       44    0.000    0.000    0.146    0.003 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\offsetbox.py:685(draw)
       17    0.000    0.000    0.135    0.008 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\axis.py:1595(get_major_ticks)
     1335    0.114    0.000    0.130    0.000 c:\Users\demagall\Documents\VS Code\Research\SpaDes\ConfigurationCost.py:258(pointingObj)
        1    0.000    0.000    0.130    0.130 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\sympy\polys\polyfuncs.py:1(<module>)
        1    0.000    0.000    0.129    0.129 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\sympy\polys\specialpolys.py:1(<module>)
        1    0.000    0.000    0.126    0.126 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\_dynamo\variables\higher_order_ops.py:1(<module>)
        1    0.000    0.000    0.124    0.124 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\onnx\__init__.py:1(<module>)
        1    0.000    0.000    0.119    0.119 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\sympy\polys\rings.py:1(<module>)
   680270    0.117    0.000    0.117    0.000 {method 'items' of 'dict' objects}
       80    0.000    0.000    0.117    0.001 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\axis.py:1544(_get_tick)
   636216    0.116    0.000    0.116    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
        1    0.000    0.000    0.115    0.115 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\sympy\printing\__init__.py:1(<module>)
     1152    0.001    0.000    0.114    0.000 <__array_function__ internals>:177(roots)
     1334    0.100    0.000    0.112    0.000 c:\Users\demagall\Documents\VS Code\Research\SpaDes\HypervolumeUtils.py:28(updateHV)
   229/97    0.004    0.000    0.111    0.001 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\offsetbox.py:506(_get_bbox_and_child_offsets)
    74/38    0.000    0.000    0.108    0.003 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\__init__.py:1458(inner)
     1152    0.016    0.000    0.107    0.000 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\numpy\lib\polynomial.py:171(roots)
        8    0.000    0.000    0.104    0.013 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\mpl_toolkits\mplot3d\axis3d.py:185(get_major_ticks)
       36    0.001    0.000    0.104    0.003 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\mpl_toolkits\mplot3d\axes3d.py:2211(scatter)
       71    0.001    0.000    0.103    0.001 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\axis.py:416(__init__)
   229/97    0.001    0.000    0.102    0.001 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\offsetbox.py:512(<listcomp>)
      399    0.014    0.000    0.100    0.000 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\text.py:363(_get_layout)
      100    0.002    0.000    0.098    0.001 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\optim\optimizer.py:464(wrapper)
      205    0.004    0.000    0.098    0.000 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\text.py:738(draw)
   680071    0.097    0.000    0.097    0.000 {built-in method _operator.index}
       48    0.001    0.000    0.096    0.002 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\mpl_toolkits\mplot3d\axes3d.py:1496(plot_surface)
    46190    0.032    0.000    0.091    0.000 <__array_function__ internals>:177(ndim)
      701    0.002    0.000    0.091    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
    18/12    0.000    0.000    0.091    0.008 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\offsetbox.py:474(_get_bbox_and_child_offsets)
   634857    0.091    0.000    0.091    0.000 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\numpy\core\multiarray.py:84(empty_like)
        1    0.000    0.000    0.090    0.090 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\sympy\printing\pycode.py:1(<module>)
        2    0.000    0.000    0.090    0.045 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\nn\modules\module.py:1052(to)
      154    0.000    0.000    0.090    0.001 C:\Users\demagall\AppData\Local\Programs\Python\Python310\lib\dataclasses.py:1174(wrap)
     1335    0.037    0.000    0.090    0.000 c:\Users\demagall\Documents\VS Code\Research\SpaDes\ConfigurationCost.py:6(centerMassCost)
     24/2    0.000    0.000    0.090    0.045 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\nn\modules\module.py:777(_apply)
   194/53    0.000    0.000    0.090    0.002 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\offsetbox.py:365(get_bbox)
      154    0.006    0.000    0.090    0.001 C:\Users\demagall\AppData\Local\Programs\Python\Python310\lib\dataclasses.py:881(_process_class)
        1    0.000    0.000    0.089    0.089 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\sympy\printing\codeprinter.py:1(<module>)
       24    0.000    0.000    0.089    0.004 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\nn\modules\module.py:1151(convert)
    18/12    0.000    0.000    0.089    0.007 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\offsetbox.py:485(<listcomp>)
       80    0.002    0.000    0.089    0.001 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\axis.py:58(__init__)
        1    0.000    0.000    0.089    0.089 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\sympy\functions\__init__.py:1(<module>)
        3    0.000    0.000    0.088    0.029 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\figure.py:643(add_subplot)
      100    0.001    0.000    0.088    0.001 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\optim\optimizer.py:70(_use_grad)
        3    0.000    0.000    0.086    0.029 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\axes\_base.py:574(__init__)
      100    0.001    0.000    0.086    0.001 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\optim\adam.py:192(step)
       36    0.001    0.000    0.083    0.002 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\axes\_axes.py:4454(scatter)
