         36718935 function calls (33718591 primitive calls) in 51.205 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002   51.208   51.208 c:\Users\demagall\Documents\VS Code\Research\SpaDes\ConfigurationDesign.py:9(main)
        2    0.000    0.000   34.088   17.044 c:\Users\demagall\Documents\VS Code\Research\SpaDes\ConfigurationOptimization.py:105(optimization)
        1    0.015    0.015   28.546   28.546 c:\Users\demagall\Documents\VS Code\Research\SpaDes\RLOptPyTorch.py:239(run)
       10    1.355    0.135   27.283    2.728 c:\Users\demagall\Documents\VS Code\Research\SpaDes\RLOptPyTorch.py:317(run_epoch)
        2    0.000    0.000   16.419    8.210 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\pyplot.py:401(show)
        2    0.000    0.000   16.419    8.210 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\backend_bases.py:3593(show)
        2    0.000    0.000   16.392    8.196 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\backends\_backend_tk.py:513(start_main_loop)
        2    0.000    0.000   16.392    8.196 C:\Users\demagall\AppData\Local\Programs\Python\Python310\lib\tkinter\__init__.py:1456(mainloop)
        2   15.418    7.709   16.392    8.196 {method 'mainloop' of '_tkinter.tkapp' objects}
    11520    3.387    0.000   15.835    0.001 c:\Users\demagall\Documents\VS Code\Research\SpaDes\ConfigurationCost.py:76(overlapCostSingleNP)
   133494    2.899    0.000   14.533    0.000 c:\Users\demagall\Documents\VS Code\Research\SpaDes\ConfigUtils.py:38(getOrientation)
2082207/703520    1.457    0.000   12.418    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
1266818/633409    0.854    0.000   11.092    0.000 <__array_function__ internals>:177(roll)
1266818/633409    6.121    0.000   10.277    0.000 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\numpy\core\numeric.py:1147(roll)
        1    0.000    0.000    5.542    5.542 c:\Users\demagall\Documents\VS Code\Research\SpaDes\ConfigurationOptimization.py:50(GAOptimization)
        1    0.000    0.000    5.465    5.465 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\pygad\pygad.py:1874(run)
       11    0.020    0.002    4.643    0.422 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\pygad\pygad.py:1647(cal_pop_fitness)
      694    0.334    0.000    4.622    0.007 c:\Users\demagall\Documents\VS Code\Research\SpaDes\ConfigurationOptimization.py:12(GAFitnessFunc)
     1334    0.192    0.000    3.702    0.003 c:\Users\demagall\Documents\VS Code\Research\SpaDes\ConfigurationCost.py:351(getCostComps)
      720    0.647    0.001    2.365    0.003 c:\Users\demagall\Documents\VS Code\Research\SpaDes\RLOptPyTorch.py:77(sample_configuration)
     1335    0.007    0.000    1.865    0.001 c:\Users\demagall\Documents\VS Code\Research\SpaDes\ConfigurationCost.py:285(constraintCost)
     1335    1.071    0.001    1.728    0.001 c:\Users\demagall\Documents\VS Code\Research\SpaDes\ConfigurationCost.py:48(overlapCost)
      720    0.587    0.001    1.454    0.002 c:\Users\demagall\Documents\VS Code\Research\SpaDes\RLOptPyTorch.py:212(sample_critic)
   633727    0.828    0.000    1.279    0.000 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\numpy\core\numeric.py:1348(normalize_axis_tuple)
        1    0.000    0.000    1.244    1.244 c:\Users\demagall\Documents\VS Code\Research\SpaDes\RLOptPyTorch.py:302(get_models)
  1051650    1.182    0.000    1.184    0.000 {built-in method numpy.array}
   736/12    0.006    0.000    1.112    0.093 <frozen importlib._bootstrap>:1022(_find_and_load)
   734/12    0.003    0.000    1.112    0.093 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
   705/12    0.003    0.000    1.108    0.092 <frozen importlib._bootstrap>:664(_load_unlocked)
   901/12    0.001    0.000    1.107    0.092 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   701/11    0.002    0.000    1.106    0.101 <frozen importlib._bootstrap_external>:877(exec_module)
  1335/14    0.051    0.000    1.103    0.079 {built-in method builtins.exec}
   872/62    0.003    0.000    1.100    0.018 <frozen importlib._bootstrap>:1053(_handle_fromlist)
   193/11    0.001    0.000    1.100    0.100 {built-in method builtins.__import__}
      102    0.000    0.000    1.086    0.011 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\_compile.py:21(inner)
        1    0.000    0.000    1.075    1.075 c:\Users\demagall\Documents\VS Code\Research\SpaDes\RLOptPyTorch.py:17(__init__)
        2    0.000    0.000    1.073    0.536 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\optim\adam.py:31(__init__)
        2    0.000    0.000    1.073    0.536 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\optim\optimizer.py:339(__init__)
        1    0.000    0.000    1.071    1.071 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\_dynamo\__init__.py:1(<module>)
        1    0.000    0.000    1.067    1.067 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\_dynamo\convert_frame.py:1(<module>)
    65/23    0.000    0.000    0.974    0.042 C:\Users\demagall\AppData\Local\Programs\Python\Python310\lib\tkinter\__init__.py:1916(__call__)
    46122    0.036    0.000    0.972    0.000 <__array_function__ internals>:177(linspace)
        9    0.000    0.000    0.965    0.107 C:\Users\demagall\AppData\Local\Programs\Python\Python310\lib\tkinter\__init__.py:837(callit)
        3    0.000    0.000    0.910    0.303 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\backends\_backend_tk.py:269(idle_draw)
        3    0.000    0.000    0.910    0.303 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\backends\backend_tkagg.py:9(draw)
    46122    0.481    0.000    0.900    0.000 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\numpy\core\function_base.py:23(linspace)
        3    0.000    0.000    0.897    0.299 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\backends\backend_agg.py:392(draw)
        3    0.000    0.000    0.895    0.298 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\artist.py:93(draw_wrapper)
    789/3    0.003    0.000    0.895    0.298 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\artist.py:54(draw_wrapper)
        3    0.000    0.000    0.895    0.298 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\figure.py:3155(draw)
      6/3    0.000    0.000    0.892    0.297 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\image.py:113(_draw_list_compositing_images)
     1335    0.791    0.001    0.874    0.001 c:\Users\demagall\Documents\VS Code\Research\SpaDes\ConfigurationCost.py:220(thermalCost)
